,"ACC","trial_id","Learning Method","training_size","partition_random_state","currerent_fold","data_percentage","batch_size","layer_model","lr","iter","total time (s)","val_loss"
1334,72.9273,"training_e3050_00000","TCL (Conv) DLH",400,1,1,0.00182325,16,"(3, 'TCL')",0.0363943,1,557.804,3.25589
1335,75.74,"training_e3050_00001","TCL (Conv) DLH",400,1,0,0.00182325,8,"(4, 'TCL')",5.07E-05,1,778.712,0.540596
1336,73.5256,"training_e3050_00002","TCL (Conv) DLH",400,0,3,0.00182325,8,"(5, 'TCL')",0.00040181,1,660.775,0.626038
1337,82.4099,"training_e3050_00003","TCL (Conv) DLH",400,1,1,0.00182325,16,"(6, 'TCL')",0.000281689,1,556.538,0.449775
1338,80.5725,"training_e3050_00004","TCL (Conv) DLH",600,0,4,0.00273488,64,"(3, 'TCL')",0.000188474,1,351.239,0.485428
1339,80.5251,"training_e3050_00005","TCL (Conv) DLH",600,0,2,0.00273488,64,"(4, 'TCL')",0.000128738,1,478.749,0.558005
1340,80.9589,"training_e3050_00006","TCL (Conv) DLH",600,1,1,0.00273488,16,"(5, 'TCL')",0.000669711,1,531.86,0.427253
1341,81.398,"training_e3050_00007","TCL (Conv) DLH",600,0,4,0.00273488,64,"(6, 'TCL')",0.00169453,1,412.833,0.462548
1342,47.9713,"training_e3050_00008","TCL (Conv) DLH",800,1,1,0.00364651,16,"(3, 'TCL')",0.0541486,1,543.563,7.72063
1343,80.7127,"training_e3050_00009","TCL (Conv) DLH",800,0,1,0.00364651,16,"(4, 'TCL')",0.00475763,1,525.756,0.455157
1344,66.4163,"training_e3050_00010","TCL (Conv) DLH",800,2,4,0.00364651,64,"(5, 'TCL')",0.000446548,1,432.393,0.613747
1345,78.4834,"training_e3050_00011","TCL (Conv) DLH",800,2,3,0.00364651,16,"(6, 'TCL')",0.00199278,1,428.771,0.511481
1346,78.6612,"training_e3050_00012","TCL (Conv) DLH",400,2,0,0.00182325,64,"(3, 'TCL')",0.000948387,1,544.451,0.526346
1347,24.1735,"training_e3050_00013","TCL (Conv) DLH",400,0,3,0.00182325,64,"(4, 'TCL')",0.0902569,1,469.538,2923.48
1348,61.6946,"training_e3050_00014","TCL (Conv) DLH",400,1,2,0.00182325,64,"(5, 'TCL')",0.000305794,1,533.471,0.677606
1349,63.2971,"training_e3050_00015","TCL (Conv) DLH",400,0,2,0.00182325,16,"(6, 'TCL')",3.62E-05,1,526.165,0.640346
1350,31.0252,"training_e3050_00016","TCL (Conv) DLH",600,0,1,0.00273488,64,"(3, 'TCL')",0.00771524,1,553.072,11.9818
1351,74.8124,"training_e3050_00017","TCL (Conv) DLH",600,2,1,0.00273488,16,"(4, 'TCL')",4.10E-05,1,565.444,0.527832
1352,67.5937,"training_e3050_00018","TCL (Conv) DLH",600,0,1,0.00273488,32,"(5, 'TCL')",0.00834484,1,521.026,0.618582
1353,81.0539,"training_e3050_00019","TCL (Conv) DLH",600,0,3,0.00273488,32,"(6, 'TCL')",0.0162744,1,423.217,0.443487
1354,50.3533,"training_e3050_00020","TCL (Conv) DLH",800,1,1,0.00364651,32,"(3, 'TCL')",0.00454889,1,556.001,0.932897
1355,76.5474,"training_e3050_00021","TCL (Conv) DLH",800,1,0,0.00364651,8,"(4, 'TCL')",0.000349526,1,789.009,0.491976
1356,64.4993,"training_e3050_00022","TCL (Conv) DLH",800,2,3,0.00364651,32,"(5, 'TCL')",0.000182818,1,472.781,0.628631
1357,75.9929,"training_e3050_00023","TCL (Conv) DLH",800,0,0,0.00364651,64,"(6, 'TCL')",8.01E-05,1,581.172,0.627725
1358,65.7227,"training_e3050_00024","TCL (Conv) DLH",400,0,4,0.00182325,32,"(3, 'TCL')",0.056068,1,364.405,265.165
1359,76.9497,"training_e3050_00025","TCL (Conv) DLH",400,1,2,0.00182325,8,"(4, 'TCL')",0.000664803,1,674.709,0.87424
1360,31.0208,"training_e3050_00026","TCL (Conv) DLH",400,1,1,0.00182325,64,"(5, 'TCL')",0.0189293,1,535.993,96.434
1361,63.4523,"training_e3050_00027","TCL (Conv) DLH",400,1,2,0.00182325,8,"(6, 'TCL')",0.0116287,1,789.101,0.714485
1362,78.5362,"training_e3050_00028","TCL (Conv) DLH",600,1,1,0.00273488,16,"(3, 'TCL')",0.0249145,1,554.132,4.83801
1363,68.0674,"training_e3050_00029","TCL (Conv) DLH",600,1,4,0.00273488,16,"(4, 'TCL')",0.00652393,1,387.004,0.775712
1364,81.0428,"training_e3050_00030","TCL (Conv) DLH",600,2,4,0.00273488,64,"(5, 'TCL')",0.000910293,1,373.555,0.461811
1365,62.838,"training_e3050_00031","TCL (Conv) DLH",600,0,0,0.00273488,64,"(6, 'TCL')",0.0581526,1,580.211,46.8441
1366,78.5108,"training_e3050_00032","TCL (Conv) DLH",800,1,3,0.00364651,16,"(3, 'TCL')",0.000103658,1,443.665,0.563202
1367,73.5683,"training_e3050_00033","TCL (Conv) DLH",800,2,1,0.00364651,64,"(4, 'TCL')",0.00178918,1,523.358,0.556756
1368,66.1455,"training_e3050_00034","TCL (Conv) DLH",800,0,0,0.00364651,8,"(5, 'TCL')",0.00123556,1,818.713,0.602872
1369,76.8473,"training_e3050_00035","TCL (Conv) DLH",800,0,4,0.00364651,8,"(6, 'TCL')",5.95E-05,1,508.711,0.50314
1370,80.1479,"training_e3050_00036","TCL (Conv) DLH",400,1,3,0.00182325,16,"(3, 'TCL')",0.00315463,1,439.249,0.442417
1371,67.5903,"training_e3050_00037","TCL (Conv) DLH",400,1,4,0.00182325,32,"(4, 'TCL')",0.0644108,1,387.573,123.378
1372,78.5824,"training_e3050_00038","TCL (Conv) DLH",400,0,3,0.00182325,16,"(5, 'TCL')",0.00234361,1,500.123,0.538611
1373,73.6796,"training_e3050_00039","TCL (Conv) DLH",400,1,2,0.00182325,16,"(6, 'TCL')",0.000100033,1,506.452,0.549639
1374,78.9544,"training_e3050_00040","TCL (Conv) DLH",600,0,2,0.00273488,64,"(3, 'TCL')",0.00204647,1,519.929,0.836155
1375,76.0374,"training_e3050_00041","TCL (Conv) DLH",600,1,0,0.00273488,64,"(4, 'TCL')",5.47E-05,1,528.849,0.635594
1376,66.4486,"training_e3050_00042","TCL (Conv) DLH",600,2,2,0.00273488,64,"(5, 'TCL')",6.90E-05,1,534.661,0.653909
1377,73.6003,"training_e3050_00043","TCL (Conv) DLH",600,1,1,0.00273488,8,"(6, 'TCL')",0.00108392,1,760.306,0.526546
1378,58.1642,"training_e3050_00044","TCL (Conv) DLH",800,1,4,0.00364651,16,"(3, 'TCL')",3.82E-05,1,345.531,0.69973
1379,62.3475,"training_e3050_00045","TCL (Conv) DLH",800,2,0,0.00364651,16,"(4, 'TCL')",3.35E-05,1,581.474,0.650863
1380,47.6215,"training_e3050_00046","TCL (Conv) DLH",800,2,4,0.00364651,64,"(5, 'TCL')",1.64E-05,1,394.542,0.683829
1381,28.4749,"training_e3050_00047","TCL (Conv) DLH",800,1,0,0.00364651,16,"(6, 'TCL')",0.0362232,1,560.98,0.732033
1382,67.6821,"training_e3050_00048","TCL (Conv) DLH",400,2,2,0.00182325,64,"(3, 'TCL')",0.00420123,1,519.998,1.34174
1383,57.4401,"training_e3050_00049","TCL (Conv) DLH",400,1,4,0.00182325,64,"(4, 'TCL')",0.0110216,1,351.087,7.22896
1384,51.2336,"training_e3050_00050","TCL (Conv) DLH",400,1,2,0.00182325,32,"(5, 'TCL')",1.47E-05,1,468.554,0.690914
1385,81.5518,"training_e3050_00051","TCL (Conv) DLH",400,2,1,0.00182325,64,"(6, 'TCL')",0.00436577,1,574.499,0.44117
1386,34.5505,"training_e3050_00052","TCL (Conv) DLH",600,1,3,0.00273488,32,"(3, 'TCL')",0.00963592,1,463.918,2.06271
1387,71.4292,"training_e3050_00053","TCL (Conv) DLH",600,0,0,0.00273488,16,"(4, 'TCL')",0.000109787,1,516.716,0.619044
1388,61.6106,"training_e3050_00054","TCL (Conv) DLH",600,2,3,0.00273488,16,"(5, 'TCL')",0.0101182,1,450.123,0.844857
1389,63.9531,"training_e3050_00055","TCL (Conv) DLH",600,2,2,0.00273488,16,"(6, 'TCL')",2.29E-05,1,503.79,0.655861
1390,78.9755,"training_e3050_00056","TCL (Conv) DLH",800,2,4,0.00364651,32,"(3, 'TCL')",0.000397247,1,386.939,0.494148
1391,76.7224,"training_e3050_00057","TCL (Conv) DLH",800,0,1,0.00364651,32,"(4, 'TCL')",5.47E-05,1,539.601,0.549402
1392,51.6714,"training_e3050_00058","TCL (Conv) DLH",800,1,4,0.00364651,32,"(5, 'TCL')",0.000420618,1,357.367,0.857378
1393,70.908,"training_e3050_00059","TCL (Conv) DLH",800,1,0,0.00364651,8,"(6, 'TCL')",0.0330463,1,827.153,0.668532
1394,76.9706,"training_e3050_00060","TCL (Conv) DLH",400,2,3,0.00182325,64,"(3, 'TCL')",1.99E-05,1,462.325,0.633376
1395,62.7362,"training_e3050_00061","TCL (Conv) DLH",400,2,2,0.00182325,8,"(4, 'TCL')",1.80E-05,1,701.454,0.6385
1396,78.1601,"training_e3050_00062","TCL (Conv) DLH",400,0,4,0.00182325,8,"(5, 'TCL')",0.000317662,1,503.491,0.471267
1397,76.9744,"training_e3050_00063","TCL (Conv) DLH",400,1,1,0.00182325,16,"(6, 'TCL')",0.00466295,1,565.189,0.619715
